sample_id,start,end,boundary,key,lForm,lemma,form,origchar,pos,cType,cForm,wType,tType,speaker,page
50-虎寛1792_02014,10,50,B,鬼がはら,オニガワラ,鬼瓦,オニガワラ,鬼がはら,名詞-普通名詞-一般,,,和,,,299
50-虎寛1792_02014,50,80,B,名乗り,ナノリ,名乗り,ナノリ,名乗り,名詞-普通名詞-一般,,,和,割書き,,299
50-虎寛1792_02014,80,90,I,雁,ガン,雁,ガン,雁,名詞-普通名詞-一般,,,漢,割書き,,299
50-虎寛1792_02014,90,120,I,ぬす人,ヌスビト,盗人,ヌスビト,ぬす人,名詞-普通名詞-一般,,,和,割書き,,299
50-虎寛1792_02014,120,130,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,割書き,,299
50-虎寛1792_02014,130,160,I,ごとく,ゴトシ,ごとし,ゴトク,ごとく,助動詞,文語助動詞-ゴトシ,連用形-一般,和,割書き,,299
50-虎寛1792_02014,160,170,I,、,,、,,、,補助記号-読点,,,記号,割書き,,299
50-虎寛1792_02014,170,190,I,太郎,タロウ,太郎,タロー,太郎,名詞-普通名詞-一般,,,漢,割書き,,299
50-虎寛1792_02014,190,230,I,くはじや,カジャ,冠者,カジャ,くはじや,名詞-普通名詞-一般,,,漢,割書き,,299
50-虎寛1792_02014,230,260,I,呼出し,ヨビイダス,呼び出だす,ヨビイダシ,呼出し,動詞-一般,文語四段-サ行,連用形-一般,和,割書き,,299
50-虎寛1792_02014,260,270,I,、,,、,,、,補助記号-読点,,,記号,割書き,,299
50-虎寛1792_02014,270,310,I,云きかせ,イイキカセル,言い聞かせる,イーキカセ,云きかせ,動詞-一般,文語下二段-サ行,連用形-一般,和,割書き,,299
50-虎寛1792_02014,310,320,I,て,テ,て,テ,て,助詞-接続助詞,,,和,割書き,,299
50-虎寛1792_02014,320,330,I,、,,、,,、,補助記号-読点,,,記号,割書き,,299
50-虎寛1792_02014,330,340,B,扠,サテ,扠,サテ,扠,接続詞,,,和,会話,シテ,299
50-虎寛1792_02014,340,360,I,加様,カヨウ,斯様,カヨー,加様,形状詞-一般,,,混,会話,シテ,299
50-虎寛1792_02014,360,370,I,に,ナリ,なり,ニ,に,助動詞,文語助動詞-ナリ-断定,連用形-ニ,和,会話,シテ,299
50-虎寛1792_02014,370,390,I,何事,ナニゴト,何事,ナニゴト,何事,名詞-普通名詞-一般,,,和,会話,シテ,299
50-虎寛1792_02014,390,400,I,も,モ,も,モ,も,助詞-係助詞,,,和,会話,シテ,299
50-虎寛1792_02014,400,420,I,思ひ,オモイ,思い,オモイ,思ひ,名詞-普通名詞-一般,,,和,会話,シテ,299
50-虎寛1792_02014,420,430,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,シテ,299
50-虎寛1792_02014,430,450,I,まま,ママ,侭,ママ,まゝ,名詞-普通名詞-副詞可能,,,和,会話,シテ,299
50-虎寛1792_02014,450,460,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,シテ,299
50-虎寛1792_02014,460,480,I,叶ふ,カナウ,適う,カナウ,叶ふ,動詞-一般,文語四段-ハ行,終止形-一般,和,会話,シテ,299
50-虎寛1792_02014,480,490,I,と,ト,と,ト,と,助詞-格助詞,,,和,会話,シテ,299
50-虎寛1792_02014,490,500,I,云,イウ,言う,イウ,云,動詞-一般,文語四段-ハ行,連体形-一般,和,会話,シテ,299
50-虎寛1792_02014,500,510,I,も,モ,も,モ,も,助詞-係助詞,,,和,会話,シテ,299
50-虎寛1792_02014,510,520,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,299
50-虎寛1792_02014,520,550,I,日ごろ,ヒゴロ,日頃,ヒゴロ,日ごろ,名詞-普通名詞-副詞可能,,,和,会話,シテ,299
50-虎寛1792_02014,550,570,I,因幡,イナバ,イナバ,イナバ,因幡,名詞-固有名詞-地名-一般,,,固,会話,シテ,299
50-虎寛1792_02014,570,580,I,堂,ドウ,堂,ドー,堂,接尾辞-名詞的-一般,,,漢,会話,シテ,299
50-虎寛1792_02014,580,590,I,の,ノ,の,ノ,の,助詞-格助詞,,,和,会話,シテ,299
50-虎寛1792_02014,590,600,I,お,オ,御,オ,お,接頭辞,,,和,会話,シテ,299
50-虎寛1792_02014,600,630,I,やくし,ヤクシ,薬師,ヤクシ,やくし,名詞-普通名詞-一般,,,漢,会話,シテ,299
50-虎寛1792_02014,630,640,I,を,ヲ,を,オ,を,助詞-格助詞,,,和,会話,シテ,299
50-虎寛1792_02014,640,660,I,信仰,シンコウ,信仰,シンゴー,信仰,名詞-普通名詞-サ変可能,,,漢,会話,シテ,299
50-虎寛1792_02014,660,680,I,する,スル,為る,スル,する,動詞-非自立可能,文語サ行変格,連体形-一般,和,会話,シテ,299
50-虎寛1792_02014,680,690,I,に,ニ,に,ニ,に,助詞-格助詞,,,和,会話,シテ,299
50-虎寛1792_02014,690,700,I,依,ヨル,因る,ヨッ,依,動詞-一般,文語四段-ラ行,連用形-促音便,和,会話,シテ,299
50-虎寛1792_02014,700,710,I,て,テ,て,テ,て,助詞-接続助詞,,,和,会話,シテ,299
50-虎寛1792_02014,710,720,I,、,,、,,、,補助記号-読点,,,記号,会話,シテ,299
50-虎寛1792_02014,720,730,I,其,ソノ,其の,ソノ,其,連体詞,,,和,会話,シテ,299
50-虎寛1792_02014,730,740,I,御,ゴ,御,ゴ,御,接頭辞,,,漢,会話,シテ,299
50-虎寛1792_02014,740,760,I,利生,リショウ,利生,リショー,利生,名詞-普通名詞-一般,,,漢,会話,シテ,299
50-虎寛1792_02014,760,770,I,で,ナリ,なり,デ,で,助動詞,文語助動詞-ナリ-断定,連用形-融合,和,会話,シテ,299
50-虎寛1792_02014,770,780,I,有,アル,有る,アラ,有,動詞-非自立可能,文語ラ行変格,未然形-一般,和,会話,シテ,299
50-虎寛1792_02014,780,790,I,う,ウ,う,ウ,う,助動詞,無変化型,終止形-一般,和,会話,シテ,299
50-虎寛1792_02014,790,800,I,と,ト,と,ト,と,助詞-格助詞,,,和,会話,シテ,299
